transaction_id,amount,time_hour,location,device,gender,region,label
81,864.47,17,Germany,web,Female,Urban,0
82,627.07,2,Germany,mobile,Female,Urban,0
83,337.59,6,India,web,Male,Rural,1
84,72.92,13,UK,mobile,Female,Urban,1
85,317.87,19,USA,mobile,Male,Rural,0
86,331.93,16,Germany,web,Female,Urban,0
87,732.31,20,USA,web,Male,Rural,0
88,641.18,11,India,web,Male,Urban,0
89,888.34,15,Germany,web,Female,Urban,0
90,477.49,23,UK,web,Male,Rural,0
91,128.4,11,USA,mobile,Female,Urban,0
92,716.11,14,Germany,web,Male,Rural,1
93,763.18,9,India,web,Female,Urban,0
94,565.66,6,UK,mobile,Male,Rural,0
95,773.26,19,USA,mobile,Female,Urban,1
96,498.86,4,USA,web,Female,Urban,0
97,527.51,0,Germany,mobile,Male,Rural,0
98,433.27,16,UK,mobile,Male,Urban,0
99,35.16,2,UK,web,Male,Urban,0
100,116.81,12,UK,mobile,Male,Urban,0
101,41.11,13,UK,mobile,Female,Urban,0
102,640.05,23,India,web,Male,Urban,0
103,321.21,17,UK,web,Female,Urban,0
104,513.48,3,USA,mobile,Male,Rural,0
105,908.49,17,USA,mobile,Female,Rural,1
106,256.8,4,India,web,Female,Rural,0
107,416.28,15,USA,mobile,Female,Urban,0
108,758.0,0,USA,mobile,Female,Rural,1
109,236.51,20,UK,mobile,Male,Urban,0
110,86.21,13,USA,web,Male,Urban,0
111,296.85,14,India,mobile,Female,Urban,0
112,169.61,8,UK,mobile,Male,Urban,0
113,930.4,14,Germany,web,Male,Rural,0
114,810.04,16,UK,mobile,Female,Urban,0
115,637.07,23,India,mobile,Male,Rural,0
116,872.75,3,UK,web,Male,Urban,0
117,805.64,11,UK,web,Male,Rural,0
118,194.7,4,India,web,Female,Rural,0
119,893.63,4,UK,web,Male,Rural,0
120,543.95,10,India,mobile,Female,Rural,0
121,809.37,5,India,mobile,Male,Rural,0
122,897.13,6,Germany,web,Male,Rural,1
123,324.82,23,USA,web,Male,Urban,0
124,118.95,13,USA,mobile,Female,Rural,0
125,235.66,23,UK,web,Female,Urban,0
126,432.84,10,UK,mobile,Male,Rural,0
127,819.83,12,Germany,web,Female,Urban,0
128,862.12,1,Germany,mobile,Male,Rural,1
129,16.88,6,Germany,web,Female,Rural,0
130,515.64,19,India,web,Female,Urban,0
131,423.24,3,Germany,mobile,Male,Rural,1
132,229.89,7,Germany,web,Male,Rural,0
133,128.67,19,UK,mobile,Male,Rural,0
134,344.24,21,Germany,mobile,Male,Urban,0
135,943.48,20,India,mobile,Female,Rural,0
136,329.97,18,India,mobile,Female,Urban,0
137,523.6,12,UK,mobile,Female,Rural,1
138,705.99,13,Germany,web,Male,Rural,1
139,369.99,9,Germany,web,Male,Urban,0
140,972.06,10,India,mobile,Female,Rural,1
141,962.82,1,Germany,web,Male,Rural,0
142,259.26,8,Germany,mobile,Female,Urban,0
143,502.28,16,Germany,web,Female,Rural,0
144,307.87,2,USA,web,Female,Urban,0
145,291.99,23,UK,web,Female,Urban,0
146,46.52,5,USA,web,Female,Urban,0
147,613.47,4,UK,mobile,Male,Rural,0
148,507.65,4,India,mobile,Male,Urban,0
149,60.96,21,Germany,web,Male,Urban,0
150,285.86,14,UK,web,Female,Rural,0
151,909.18,22,USA,mobile,Female,Urban,0
152,247.17,16,Germany,web,Female,Rural,0
153,153.45,8,India,mobile,Female,Rural,0
154,494.56,2,UK,mobile,Male,Rural,0
155,985.79,19,UK,mobile,Male,Rural,0
156,249.63,16,UK,web,Female,Urban,0
157,675.41,9,Germany,mobile,Female,Urban,0
158,764.0,2,USA,web,Female,Urban,0
159,245.26,17,USA,mobile,Male,Urban,0
160,730.93,17,UK,web,Male,Urban,0
161,374.11,16,India,web,Male,Rural,0
162,635.98,23,India,web,Female,Urban,0
163,637.19,2,USA,mobile,Female,Urban,0
164,540.42,2,India,mobile,Male,Urban,0
165,99.39,5,USA,web,Female,Rural,1
166,836.95,12,UK,web,Male,Rural,0
167,327.57,23,USA,web,Female,Urban,0
168,194.65,14,USA,mobile,Male,Rural,0
169,50.37,8,UK,mobile,Female,Urban,0
170,594.98,3,India,mobile,Male,Urban,0
171,680.79,13,USA,mobile,Male,Rural,0
172,26.42,4,USA,web,Male,Rural,0
173,516.97,1,UK,web,Male,Urban,0
174,234.23,10,India,mobile,Male,Urban,0
175,648.72,8,USA,mobile,Male,Rural,0
176,182.62,23,UK,web,Female,Urban,0
177,694.03,2,USA,mobile,Female,Rural,1
178,392.87,8,Germany,mobile,Female,Urban,0
179,937.36,2,UK,mobile,Male,Rural,0
180,146.15,1,India,mobile,Male,Urban,0
181,347.66,11,India,mobile,Female,Urban,1
182,122.34,9,India,mobile,Male,Rural,0
183,925.45,8,India,web,Male,Urban,0
184,878.57,14,USA,mobile,Male,Urban,1
185,265.36,7,USA,mobile,Male,Rural,0
186,663.38,4,India,web,Male,Urban,0
187,819.05,10,India,web,Female,Urban,0
188,559.65,1,India,web,Female,Urban,0
189,534.35,23,USA,mobile,Female,Rural,1
190,249.43,14,India,web,Female,Rural,0
191,102.17,5,India,mobile,Female,Rural,1
192,898.24,7,Germany,mobile,Male,Urban,0
193,901.41,4,Germany,mobile,Male,Urban,0
194,636.77,15,India,web,Male,Urban,0
195,345.64,17,UK,web,Male,Urban,0
196,355.72,5,India,web,Female,Rural,0
197,728.7,4,Germany,web,Female,Urban,0
198,898.14,15,UK,web,Female,Urban,0
199,888.22,12,UK,mobile,Male,Urban,0
200,782.08,4,India,mobile,Female,Rural,0
201,645.61,12,Germany,mobile,Male,Urban,0
202,93.3,16,Germany,mobile,Female,Urban,0
203,170.01,17,UK,web,Female,Urban,0
204,899.57,7,India,web,Male,Urban,1
205,610.36,12,USA,mobile,Male,Urban,0
206,19.11,18,USA,web,Female,Rural,0
207,110.46,2,Germany,web,Female,Urban,0
208,666.87,23,USA,mobile,Male,Urban,0
209,15.01,7,Germany,mobile,Female,Urban,1
210,169.2,1,Germany,web,Female,Urban,0
211,553.25,7,Germany,web,Male,Urban,0
212,694.98,12,USA,mobile,Female,Urban,0
213,655.44,12,Germany,mobile,Male,Urban,0
214,232.03,0,UK,mobile,Female,Urban,1
215,715.06,5,India,web,Male,Urban,0
216,244.88,23,India,mobile,Female,Urban,0
217,332.15,18,Germany,mobile,Male,Rural,0
218,749.03,15,India,web,Female,Rural,0
219,653.14,7,USA,web,Male,Rural,0
220,850.73,0,USA,web,Female,Rural,0
221,661.04,15,India,web,Female,Urban,0
222,572.63,8,USA,web,Female,Rural,0
223,102.74,12,India,mobile,Female,Rural,0
224,374.04,10,India,mobile,Female,Urban,0
225,272.55,12,India,web,Female,Rural,0
226,251.55,20,Germany,web,Female,Rural,0
227,973.28,9,India,web,Female,Urban,0
228,399.17,3,Germany,web,Female,Urban,0
229,893.13,5,India,web,Male,Urban,0
230,634.83,6,India,mobile,Male,Rural,0
231,796.86,4,India,mobile,Female,Rural,0
232,507.61,10,USA,mobile,Male,Urban,0
233,581.13,12,Germany,mobile,Female,Urban,0
234,497.59,18,Germany,web,Female,Rural,0
235,203.29,22,India,mobile,Male,Urban,0
236,725.23,9,India,web,Female,Rural,1
237,287.96,9,USA,web,Female,Urban,0
238,34.07,10,USA,web,Male,Urban,0
239,649.02,20,USA,mobile,Male,Rural,0
240,185.34,6,Germany,web,Female,Urban,0
241,941.05,17,Germany,mobile,Male,Urban,0
242,954.39,3,Germany,mobile,Male,Urban,0
243,915.72,1,India,web,Female,Rural,1
244,376.46,13,Germany,web,Male,Urban,0
245,25.3,12,UK,web,Male,Urban,0
246,929.04,11,UK,mobile,Female,Urban,0
247,433.9,6,USA,web,Male,Urban,0
248,966.99,1,Germany,mobile,Male,Urban,0
249,963.98,12,UK,web,Female,Urban,0
250,854.48,13,USA,web,Female,Rural,1
251,301.5,16,Germany,mobile,Female,Rural,0
252,391.25,8,India,mobile,Male,Urban,1
253,852.63,16,UK,mobile,Female,Rural,0
254,323.75,7,India,mobile,Female,Rural,0
255,177.8,1,Germany,mobile,Male,Urban,0
256,561.23,23,UK,mobile,Female,Rural,0
257,936.79,12,Germany,web,Female,Rural,1
258,699.07,2,India,web,Female,Rural,0
259,574.36,15,UK,mobile,Female,Rural,0
260,106.2,5,India,web,Male,Rural,0
261,618.86,18,Germany,mobile,Female,Rural,0
262,990.15,6,Germany,web,Female,Rural,0
263,148.68,9,India,web,Male,Rural,0
264,523.15,8,UK,mobile,Female,Urban,0
265,878.6,1,India,mobile,Male,Urban,1
266,743.36,14,Germany,mobile,Male,Rural,0
267,700.05,4,India,web,Male,Rural,0
268,705.46,21,Germany,mobile,Female,Urban,0
269,365.9,3,India,web,Male,Rural,0
270,300.66,19,UK,mobile,Male,Rural,0
271,811.27,3,UK,web,Male,Urban,1
272,812.01,17,India,web,Female,Urban,0
273,868.4,3,India,mobile,Female,Urban,1
274,914.11,16,UK,web,Female,Rural,1
275,516.23,11,Germany,web,Female,Rural,0
276,506.5,21,UK,mobile,Female,Urban,0
277,800.31,16,Germany,web,Female,Urban,1
278,653.46,9,India,mobile,Female,Rural,1
279,704.95,21,India,mobile,Male,Urban,0
280,797.83,0,Germany,mobile,Male,Rural,0
281,891.11,21,India,mobile,Male,Rural,0
282,344.62,23,Germany,web,Male,Urban,0
283,381.83,17,USA,web,Female,Urban,0
284,103.04,17,UK,web,Male,Rural,1
285,582.5,13,USA,mobile,Male,Urban,1
286,45.58,14,Germany,web,Male,Urban,0
287,470.94,11,UK,web,Male,Urban,0
288,547.22,3,Germany,mobile,Female,Urban,0
289,293.68,2,UK,mobile,Female,Rural,0
290,594.92,19,UK,web,Female,Rural,1
291,40.2,11,UK,mobile,Male,Rural,0
292,46.97,6,UK,mobile,Female,Rural,0
293,824.37,10,Germany,mobile,Male,Urban,1
294,366.59,0,UK,mobile,Female,Urban,0
295,135.79,5,UK,web,Female,Rural,0
296,527.02,14,USA,mobile,Female,Rural,0
297,772.29,14,India,mobile,Female,Urban,0
298,223.66,18,India,mobile,Female,Rural,1
299,626.66,10,USA,mobile,Male,Rural,1
300,94.49,22,USA,mobile,Female,Urban,0
301,61.16,1,Germany,mobile,Male,Rural,0
302,536.04,13,Germany,mobile,Male,Urban,0
303,545.23,1,Germany,mobile,Male,Urban,0
304,641.06,3,USA,web,Male,Rural,1
305,728.83,16,USA,mobile,Male,Urban,0
306,976.09,2,UK,web,Female,Rural,1
307,521.14,12,Germany,mobile,Female,Urban,1
308,329.73,8,Germany,mobile,Female,Rural,0
309,797.23,6,Germany,mobile,Female,Rural,1
310,278.12,14,India,mobile,Male,Rural,0
311,444.58,22,UK,web,Female,Urban,0
312,87.67,10,Germany,mobile,Female,Urban,0
313,35.1,19,Germany,mobile,Male,Rural,0
314,963.02,1,Germany,web,Male,Urban,0
315,837.62,14,India,web,Female,Rural,0
316,699.01,13,India,mobile,Female,Rural,0
317,414.86,19,USA,web,Male,Urban,0
318,181.56,21,UK,web,Female,Rural,1
319,164.87,10,USA,web,Female,Urban,0
320,257.74,2,UK,mobile,Female,Rural,0
321,553.73,16,India,mobile,Female,Urban,0
322,717.45,11,Germany,mobile,Male,Rural,1
323,663.6,23,USA,web,Male,Rural,0
324,287.13,20,Germany,mobile,Male,Urban,0
325,955.32,14,USA,web,Female,Rural,0
326,740.52,15,India,mobile,Female,Rural,1
327,558.81,4,India,mobile,Female,Urban,0
328,615.6,19,India,web,Female,Rural,0
329,425.4,5,USA,mobile,Female,Urban,0
330,255.25,18,UK,web,Male,Rural,1
331,362.41,4,USA,web,Female,Urban,0
332,760.27,2,UK,mobile,Female,Rural,0
333,24.25,0,USA,web,Male,Rural,1
334,124.91,5,USA,mobile,Female,Rural,0
335,55.54,14,India,mobile,Male,Urban,0
336,50.32,1,Germany,web,Male,Urban,0
337,856.91,2,Germany,mobile,Male,Urban,0
338,706.62,16,UK,web,Male,Urban,0
339,479.43,23,Germany,mobile,Male,Rural,0
340,106.86,11,USA,mobile,Female,Rural,0
341,496.7,17,USA,mobile,Male,Urban,0
342,478.74,14,India,mobile,Male,Urban,0
343,181.47,11,India,mobile,Female,Urban,0
344,439.51,15,Germany,web,Female,Rural,1
345,404.52,7,UK,web,Male,Urban,0
346,619.69,13,Germany,web,Female,Urban,0
347,638.74,16,Germany,web,Female,Rural,0
348,54.85,20,Germany,web,Male,Rural,0
349,380.87,7,Germany,web,Male,Urban,0
350,629.6,14,USA,mobile,Female,Rural,1
351,508.1,13,UK,mobile,Male,Urban,0
352,857.92,17,USA,web,Male,Rural,0
353,662.11,19,UK,web,Female,Urban,0
354,171.31,6,India,mobile,Male,Urban,0
355,79.86,2,Germany,mobile,Male,Urban,0
356,646.0,11,USA,mobile,Male,Urban,0
357,36.25,20,UK,web,Male,Rural,0
358,589.92,23,India,web,Male,Rural,0
359,940.83,2,India,web,Female,Rural,1
360,579.72,19,Germany,mobile,Female,Rural,0
361,394.29,13,UK,mobile,Male,Urban,0
362,646.86,14,USA,web,Female,Urban,0
363,463.67,13,Germany,web,Male,Rural,0
364,550.16,6,USA,mobile,Male,Rural,0
365,942.05,16,India,mobile,Male,Rural,0
366,392.24,11,USA,mobile,Male,Rural,0
367,961.58,19,USA,mobile,Male,Rural,1
368,906.3,3,Germany,web,Female,Urban,0
369,203.83,8,USA,mobile,Female,Urban,0
370,78.67,5,Germany,mobile,Male,Urban,0
371,109.77,15,India,mobile,Female,Rural,0
372,28.04,21,Germany,web,Male,Rural,1
373,103.5,21,Germany,web,Female,Rural,0
374,686.18,20,UK,mobile,Male,Rural,0
375,80.48,20,USA,mobile,Female,Urban,0
376,325.79,1,India,mobile,Male,Urban,0
377,846.43,23,Germany,web,Male,Rural,0
378,33.04,7,India,web,Female,Urban,0
379,816.32,10,UK,web,Female,Urban,0
380,289.04,12,USA,mobile,Male,Rural,0
381,126.98,16,Germany,web,Female,Rural,0
382,699.77,7,USA,mobile,Male,Rural,0
383,632.65,20,UK,mobile,Female,Rural,0
384,878.7,17,UK,mobile,Female,Rural,0
385,737.72,17,India,web,Male,Rural,0
386,805.45,13,Germany,mobile,Female,Urban,0
387,289.21,14,India,web,Female,Urban,0
388,185.67,5,UK,web,Male,Rural,0
389,753.11,10,USA,mobile,Female,Urban,1
390,808.77,12,India,mobile,Male,Rural,0
391,990.6,0,India,web,Male,Rural,0
392,418.49,5,USA,mobile,Male,Rural,0
393,378.3,8,India,web,Male,Rural,0
394,778.65,7,USA,mobile,Male,Urban,0
395,347.4,10,Germany,web,Female,Rural,1
396,931.45,21,USA,web,Male,Urban,0
397,859.83,18,Germany,web,Male,Rural,1
398,434.7,23,USA,web,Female,Rural,0
399,753.36,8,UK,mobile,Female,Rural,0
400,757.0,16,UK,mobile,Female,Urban,1
401,112.09,11,Germany,web,Male,Rural,0
402,903.53,13,Germany,web,Male,Rural,0
403,510.2,14,UK,mobile,Male,Rural,0
404,828.19,15,Germany,mobile,Female,Urban,0
405,326.85,21,USA,mobile,Male,Urban,0
406,896.57,21,USA,mobile,Female,Urban,1
407,395.31,19,UK,mobile,Male,Rural,0
408,20.73,0,India,mobile,Female,Urban,0
409,906.33,9,USA,web,Male,Rural,0
410,100.37,7,Germany,mobile,Male,Urban,0
411,326.12,17,India,mobile,Male,Urban,0
412,950.56,0,India,web,Female,Rural,0
413,951.1,1,USA,mobile,Female,Urban,0
414,577.7,0,USA,mobile,Male,Rural,0
415,635.52,0,India,mobile,Male,Rural,0
416,453.96,8,India,mobile,Male,Urban,0
417,300.28,12,UK,mobile,Female,Rural,0
418,335.38,0,Germany,web,Male,Rural,0
419,675.79,12,UK,mobile,Male,Urban,0
420,754.85,19,USA,web,Male,Urban,0
421,793.66,21,UK,web,Male,Rural,1
422,791.72,6,UK,mobile,Female,Urban,0
423,100.29,1,UK,web,Female,Rural,0
424,499.48,5,UK,mobile,Male,Rural,0
425,66.98,6,Germany,web,Male,Urban,0
426,554.03,13,Germany,web,Female,Urban,0
427,447.12,17,India,mobile,Female,Urban,0
428,888.83,14,USA,mobile,Male,Urban,0
429,357.41,1,UK,mobile,Female,Rural,1
430,125.9,9,India,mobile,Female,Rural,0
431,151.56,22,India,mobile,Male,Urban,0
432,763.9,11,India,web,Female,Urban,0
433,622.04,16,Germany,web,Female,Rural,0
434,110.11,7,UK,web,Male,Rural,0
435,93.27,10,UK,web,Male,Rural,0
436,703.96,2,USA,web,Female,Rural,1
437,82.04,5,UK,web,Male,Urban,0
438,823.64,8,UK,web,Female,Rural,1
439,709.18,5,India,mobile,Male,Rural,1
440,90.54,8,USA,mobile,Female,Urban,0
441,93.99,6,UK,web,Male,Rural,0
442,986.77,8,Germany,web,Female,Rural,0
443,380.53,17,UK,mobile,Female,Urban,0
444,376.94,11,India,mobile,Female,Urban,0
445,814.67,7,Germany,mobile,Male,Urban,0
446,947.78,7,India,mobile,Male,Rural,0
447,986.14,17,UK,web,Female,Rural,1
448,755.84,19,Germany,mobile,Female,Urban,0
449,382.5,14,USA,web,Male,Urban,0
450,92.67,6,USA,web,Male,Rural,0
451,779.38,10,Germany,web,Male,Urban,0
452,562.82,19,Germany,mobile,Male,Urban,0
453,429.98,15,India,mobile,Male,Urban,0
454,907.29,3,Germany,web,Male,Rural,0
455,120.09,5,India,web,Female,Rural,0
456,497.7,21,UK,web,Male,Rural,0
457,21.24,2,India,mobile,Female,Rural,0
458,473.97,8,Germany,web,Male,Rural,0
459,65.74,9,Germany,mobile,Male,Rural,0
460,127.63,13,UK,web,Female,Urban,0
461,126.35,10,Germany,web,Female,Rural,0
462,652.72,17,Germany,web,Male,Rural,0
463,748.58,21,USA,mobile,Female,Urban,0
464,587.54,11,USA,mobile,Female,Rural,0
465,962.55,22,UK,web,Female,Rural,0
466,381.12,11,India,mobile,Female,Urban,0
467,292.85,12,USA,web,Male,Urban,0
468,869.91,12,India,mobile,Female,Urban,1
469,231.36,18,Germany,mobile,Male,Rural,1
470,963.59,18,USA,mobile,Male,Urban,0
471,22.03,22,UK,web,Male,Rural,0
472,970.18,13,UK,mobile,Male,Rural,0
473,52.73,3,UK,mobile,Female,Rural,0
474,892.23,12,USA,web,Female,Rural,0
475,532.42,7,India,web,Male,Urban,1
476,993.04,22,Germany,web,Male,Urban,0
477,83.06,20,India,web,Male,Rural,0
478,558.32,22,India,mobile,Male,Urban,0
479,969.61,18,Germany,mobile,Female,Rural,0
480,527.87,11,Germany,mobile,Male,Rural,0
481,633.1,17,USA,mobile,Female,Rural,1
482,698.79,5,USA,mobile,Male,Urban,0
483,460.0,17,USA,web,Male,Rural,0
484,631.28,18,USA,mobile,Male,Rural,0
485,588.47,21,USA,mobile,Male,Urban,0
486,902.15,4,Germany,mobile,Female,Urban,1
487,54.99,23,India,web,Female,Urban,0
488,288.15,8,USA,web,Female,Urban,0
489,950.91,2,USA,mobile,Male,Rural,0
490,891.36,9,India,web,Male,Urban,1
491,461.1,18,USA,web,Female,Rural,1
492,623.93,2,India,web,Female,Urban,0
493,284.61,21,India,web,Male,Urban,0
494,196.24,14,Germany,web,Male,Urban,0
495,469.06,0,UK,web,Female,Urban,1
496,359.82,6,Germany,web,Male,Urban,0
497,587.82,11,UK,mobile,Male,Urban,0
498,86.96,16,UK,mobile,Female,Rural,0
499,974.65,20,UK,web,Male,Urban,0
500,986.35,23,USA,mobile,Female,Urban,0
501,701.18,19,Germany,mobile,Male,Urban,1
502,540.74,4,UK,web,Female,Urban,0
503,316.43,3,India,mobile,Male,Rural,0
504,815.66,11,USA,web,Female,Urban,0
505,687.88,19,Germany,web,Female,Urban,0
506,170.99,23,UK,web,Female,Urban,0
507,911.82,17,India,mobile,Female,Urban,1
508,824.31,16,Germany,mobile,Male,Rural,1
509,950.3,18,Germany,mobile,Male,Urban,1
510,728.46,8,USA,mobile,Female,Rural,1
511,617.28,3,Germany,web,Male,Urban,0
512,424.06,20,USA,web,Male,Rural,0
513,933.4,1,UK,mobile,Male,Rural,0
514,867.4,3,USA,web,Male,Urban,0
515,54.77,1,India,web,Male,Urban,0
516,36.1,14,USA,mobile,Female,Rural,0
517,382.7,1,India,web,Female,Rural,0
518,812.45,3,USA,mobile,Female,Urban,0
519,987.4,5,Germany,web,Female,Rural,1
520,158.91,6,UK,mobile,Male,Rural,0
521,598.19,9,India,web,Male,Rural,0
522,387.08,18,USA,web,Female,Urban,0
523,970.22,18,USA,mobile,Male,Rural,1
524,843.7,21,USA,mobile,Male,Rural,1
525,839.95,11,Germany,mobile,Female,Rural,0
526,474.01,2,Germany,mobile,Male,Urban,0
527,420.67,12,India,web,Female,Urban,0
528,280.67,17,India,web,Female,Rural,0
529,65.81,7,Germany,mobile,Male,Urban,0
530,866.08,20,India,web,Male,Rural,0
531,814.77,14,UK,mobile,Female,Urban,0
532,999.72,0,UK,mobile,Female,Urban,0
533,996.67,2,Germany,web,Male,Rural,0
534,559.88,7,India,web,Female,Urban,0
535,771.3,3,USA,mobile,Female,Urban,1
536,945.32,15,UK,mobile,Female,Urban,1
537,851.15,22,Germany,mobile,Male,Rural,1
538,254.87,9,India,web,Female,Urban,0
539,456.04,11,Germany,web,Male,Urban,0
540,137.87,13,USA,web,Female,Rural,0
541,954.51,13,UK,web,Male,Urban,1
542,610.11,1,Germany,mobile,Female,Urban,0
543,236.36,22,Germany,mobile,Male,Urban,0
544,674.98,4,Germany,mobile,Male,Urban,0
545,621.95,4,USA,mobile,Male,Urban,0
546,364.58,5,Germany,mobile,Female,Rural,0
547,122.42,12,USA,mobile,Female,Rural,0
548,674.86,8,USA,web,Female,Urban,1
549,525.1,21,USA,web,Male,Urban,0
550,774.6,14,UK,mobile,Female,Urban,1
551,524.96,13,UK,mobile,Male,Rural,0
552,853.66,23,Germany,web,Female,Rural,0
553,556.39,6,Germany,web,Male,Urban,0
554,565.33,19,UK,web,Male,Urban,0
555,877.89,1,India,web,Male,Rural,0
556,409.45,6,UK,mobile,Female,Urban,1
557,142.68,5,USA,mobile,Female,Rural,0
558,38.49,16,UK,mobile,Female,Rural,0
559,757.59,1,USA,mobile,Male,Urban,0
560,624.11,2,Germany,mobile,Male,Rural,0
561,707.04,4,India,web,Female,Urban,0
562,220.83,4,Germany,mobile,Female,Urban,0
563,145.01,0,USA,web,Female,Urban,0
564,24.4,7,USA,mobile,Male,Urban,0
565,357.08,11,USA,mobile,Male,Urban,0
566,594.02,23,India,mobile,Male,Urban,0
567,398.32,3,UK,mobile,Male,Rural,0
568,443.1,12,Germany,mobile,Male,Rural,0
569,905.12,22,Germany,web,Female,Rural,1
570,354.77,14,UK,web,Male,Rural,0
571,518.85,10,Germany,web,Male,Urban,0
572,785.82,9,India,mobile,Male,Rural,0
573,402.58,2,Germany,mobile,Male,Rural,0
574,625.87,21,USA,web,Male,Rural,1
575,863.74,13,UK,mobile,Female,Urban,0
576,950.03,15,India,mobile,Male,Rural,1
577,155.6,9,UK,web,Male,Urban,0
578,927.32,9,India,mobile,Male,Rural,0
579,497.2,11,USA,web,Female,Urban,0
580,265.66,8,UK,mobile,Female,Urban,0
581,464.54,0,Germany,web,Female,Rural,0
582,980.23,4,India,mobile,Male,Urban,0
583,497.69,19,UK,mobile,Female,Urban,0
584,335.46,7,Germany,web,Male,Rural,0
585,637.07,10,UK,mobile,Male,Rural,0
586,247.74,11,UK,mobile,Female,Rural,0
587,85.1,0,UK,web,Male,Urban,0
588,137.59,21,India,mobile,Male,Urban,0
589,136.77,19,Germany,web,Male,Urban,0
590,160.38,10,USA,mobile,Female,Rural,0
591,147.44,4,India,mobile,Male,Urban,0
592,644.47,14,India,mobile,Male,Urban,0
593,190.06,4,India,mobile,Female,Urban,0
594,352.21,11,USA,web,Male,Urban,0
595,897.82,4,Germany,mobile,Male,Urban,0
596,479.22,16,Germany,web,Female,Urban,0
597,670.88,16,Germany,mobile,Male,Urban,0
598,180.6,23,UK,mobile,Male,Rural,0
599,200.37,11,UK,mobile,Male,Rural,0
600,50.46,23,UK,mobile,Male,Rural,1
601,177.25,14,USA,web,Male,Urban,0
602,285.8,14,UK,web,Female,Urban,0
603,185.24,5,USA,web,Female,Rural,0
604,97.82,11,Germany,web,Female,Urban,0
